Student,pref_audio,pref_image,pref_infographic,pref_games,pref_webpgs,pref_table,pref_text,pref_tutorial,pref_video,pref_forum,pref,rend
1,5,0,7,0,2,3,1,7,9,8,0.72,3.23
2,9,8,4,7,4,8,0,6,2,7,0.85,7.43
3,10,9,4,7,5,9,0,6,3,7,0.83,5.76
4,0,0,4,7,1,3,1,1,8,7,0.88,7.21
5,1,0,3,6,0,4,1,1,7,6,0.93,9.93
6,5,0,6,1,2,4,1,7,7,7,0.81,7.16
7,9,0,4,4,5,4,6,6,8,4,0.77,5.39
8,0,0,3,7,0,3,2,1,8,7,0.80,6.79
9,0,0,3,7,0,3,1,1,8,7,0.91,5.71
10,10,0,5,4,5,5,7,6,9,4,0.74,4.54
11,10,0,5,4,4,4,7,6,9,4,0.89,6.46
12,4,0,6,1,2,4,1,7,8,8,0.79,5.20
13,0,0,3,6,0,3,2,1,7,6,0.68,2.12
14,5,9,0,9,3,4,8,8,3,10,0.80,5.46
15,9,0,5,4,5,5,7,6,8,4,0.80,3.77
16,10,0,5,4,4,4,7,6,9,3,0.76,2.16
17,1,0,4,7,1,4,2,2,8,7,0.83,6.52
18,9,9,4,7,4,8,0,6,2,7,0.92,7.68
19,4,0,6,1,2,4,1,7,7,7,0.82,5.41
20,10,9,4,7,3,9,0,6,2,8,0.79,5.71
21,9,0,4,4,5,4,7,5,8,4,0.90,7.32
22,9,0,4,4,4,4,7,6,8,4,0.91,6.71
23,4,0,6,0,1,3,1,8,8,7,0.76,4.27
24,0,1,3,7,0,4,2,1,8,7,0.78,3.57
25,8,0,4,4,5,5,6,5,8,4,0.82,5.94
26,10,0,4,5,4,5,7,6,8,4,0.85,7.03
27,1,0,4,6,0,3,2,1,7,6,0.78,5.39
28,5,9,0,9,2,3,9,9,2,10,0.76,2.96
29,5,0,6,1,1,4,1,7,9,8,0.73,5.01
30,10,0,4,4,4,5,6,6,8,4,0.86,5.87
31,5,0,7,1,2,4,2,7,8,8,0.91,6.89
32,10,0,5,5,4,4,7,6,8,5,0.75,5.06
33,9,9,4,7,4,8,0,6,2,7,0.72,2.48
34,9,9,4,8,4,8,0,5,2,8,0.74,4.43
35,9,0,4,5,5,5,7,6,9,4,0.84,6.67
36,5,0,7,1,2,4,1,8,10,8,0.71,3.52
37,5,9,0,9,2,3,8,8,3,9,0.81,4.78
38,0,0,3,6,0,3,1,1,6,6,0.71,1.98
39,10,10,4,7,5,8,0,6,3,7,0.88,4.48
40,5,0,7,1,2,4,1,8,9,9,0.78,5.41
41,0,0,3,7,0,3,1,1,8,7,0.77,6.32
42,0,0,4,7,1,3,1,1,9,7,0.87,8.23
43,5,0,6,0,1,3,1,7,8,8,0.71,3.44
44,5,9,0,9,2,3,8,9,3,10,0.86,3.90
45,9,0,4,4,5,5,7,6,8,4,0.81,5.99
46,4,9,0,9,1,3,8,8,2,10,0.77,5.70
47,8,0,4,4,4,4,7,5,8,4,0.89,8.73
48,0,0,3,7,0,3,1,1,8,6,0.82,6.20
49,9,0,5,4,4,4,7,5,9,3,0.81,7.02
